Angle,Energy,Re_sigma_xx,Im_sigma_xx
12,1790,0.057624807484845234,-17.54540302483498
12,1800,0.048066996788956026,-18.12028992054078
12,1810,0.06977507211405673,-18.708966388770488
12,1820,0.020094020318513827,-16.84694025275164
12,1830,0.07467128322271285,-16.625121474861324
12,1840,0.05606915027395567,-22.613434799339206
12,1850,0.08667909522461816,-17.853363200241485
12,1860,0.03648925009462673,-21.741772387966776
12,1870,0.08478016172036819,-13.181484021902978
12,1880,0.05851578070193638,-23.550074894963565
12,1890,0.04181007739867901,-17.835565626037386
12,1900,0.049723456826815095,-18.747282732265354
12,1910,0.06439314449772839,-15.525944668849855
12,1920,0.05435660344274157,-8.264349375571348
12,1930,0.05888951927596054,-14.296634881835738
12,1940,0.03098096118705379,-18.281349021195684
12,1950,0.034839253223259384,-17.73886538244263
12,1960,0.04258204371026752,-18.649193733275595
12,1970,0.02797348434671882,-5.768269229462206
12,1980,0.08620389472984277,-11.32556561502093
12,1990,0.04065077998876389,-23.52809286766253
13,1300,0.05685732912452306,-9.552396886233609
13,1310,0.05271787920148,-5.796123853493079
13,1320,0.0243124679683102,-11.267047680865845
13,1330,0.04711692192512142,-13.192014651008579
13,1340,0.01591521574433544,-3.885758499866102
13,1350,0.042450369412539365,-4.888938532477831
13,1360,0.029228076838272155,-10.894872068516413
13,1370,0.02117190841249315,-5.751294593260766
13,1380,0.04085504110198406,-6.913960710900537
13,1390,0.02278729160834356,-4.99095692307365
13,1400,0.04832257926314708,-8.680927112329721
13,1410,0.04545970625936632,-5.964426895466576
13,1420,0.03864583974645582,-8.73349393602758
13,1430,0.028879921373892066,-8.133177387961405
13,1440,0.03431011153176526,-5.069953508761287
13,1450,0.038832443815639335,-7.787083767025805
13,1460,0.0306284858522613,-8.60192980858472
13,1470,0.029021694397468458,-3.6232258757829423
13,1480,0.039423960979206335,-9.77545733908603
13,1490,0.048963743299994804,-9.793166562902343
13,1500,0.05551965517557556,-6.348699455705062
13,1510,0.048125793136473374,-8.082560934210754
13,1520,0.023650956723194803,-4.762374441509948
13,1530,0.01869042716779501,-7.058799249913763
13,1540,0.03295556078025033,-7.769226832355056
13,1550,0.02850994760255476,-10.175057030081138
13,1560,0.05391136056361047,-12.054198810887668
13,1570,0.030699814488862838,-9.46614952915436
13,1580,0.06985652936567247,-11.4356610429699
13,1590,0.029205940938333244,-11.33242403894635
13,1600,0.04803536265611443,-6.8951897164149525
13,1610,0.04966820358413769,-7.655436623031462
13,1620,0.03698628385932436,-8.88622616261255
13,1630,0.025830093657688902,-8.15472899523291
13,1640,0.04732982890847778,-11.2834128086313
13,1650,0.055701152474103476,-4.070556685354897
13,1660,0.023975639154064334,-8.451030415549702
13,1670,0.03349262784551971,-15.822251952691524
13,1680,0.04811968610553972,-11.73017469929458
13,1690,0.03503415871264527,-9.582157903355107
13,1700,0.020029878999780006,-9.487528102931922
13,1710,0.04444463413056592,-13.181961346662588
13,1720,0.01857316048691222,-9.288649575141589
13,1730,0.024029025383446992,-12.541806284883906
13,1740,0.03993527225194442,-12.21858548804756
13,1750,0.0321405787135874,-12.817479185221849
13,1760,0.03199331518225226,-11.308314525776634
13,1770,0.06019359174371064,-6.1310395704536615
13,1780,0.029126803689278648,-14.167316936849938
13,1790,0.034011135107906466,-11.77290020741463
13,1800,0.04561544880834526,-11.166150343186352
13,1810,0.07243665668681527,-9.184585368970811
13,1820,0.048476003349189015,-9.168562850384916
13,1830,0.059819254724856226,-13.005524801388669
13,1840,0.04161988011964576,-5.849754377126086
13,1850,0.044482193957778755,-14.04695664248508
13,1860,0.047991418345083456,-9.126063035512962
13,1870,0.05872761490157982,-14.616368260259456
13,1880,0.062428740074155636,-5.040249052297038
13,1890,0.05402757144881089,-9.318572524923697
13,1900,0.025572749219234744,-14.747165656088072
13,1910,0.03358529887202114,-11.214809945935405
13,1920,0.013692203825689898,-7.851005039666991
13,1930,0.029412264171757022,-12.980099886420234
13,1940,0.044425839699847335,-8.484573134271491
13,1950,0.018610663131684125,-5.4751151290091675
13,1960,0.02103220474127218,-15.872586586372638
13,1970,0.03765284913088538,-13.415524392852921
13,1980,0.042617239622887576,-9.599224512064449
13,1990,0.046706912055939596,-6.6145853158432955
14,1300,0.04624148796855414,-7.506979387877318
14,1310,0.037213138692584316,-6.620247914037265
14,1320,0.023581207432109962,-6.446268540226832
14,1330,0.03403174750714971,-9.72246430554899
14,1340,0.021950793050119006,-6.617950841688023
14,1350,0.029419683668393457,-4.38068537958609
14,1360,0.036310371902233095,-3.804509599227947
14,1370,0.022955505676465905,-8.79525253185909
14,1380,0.02194341102886934,-4.181921945363584
14,1390,0.018601791077526252,-3.5566702162167125
14,1400,0.009647021950105247,-7.8385853733284705
14,1410,0.025287070680570446,-7.785899629128619
14,1420,0.024042188678177416,-6.262492671665356
14,1430,0.019879544430761162,-7.424327250122251
14,1440,0.024002680533395274,-6.948201132350304
14,1450,0.016258193013122584,-11.856110553867225
14,1460,0.019920421328724403,-10.132338346193169
14,1470,0.03278899796238252,-3.657388380746854
14,1480,0.025107675284067803,-4.957609231469111
14,1490,0.05107813689684296,-5.884082853822474
14,1500,0.027203755453444424,-9.747841070224675
14,1510,0.030479559975320675,-7.805010952774325
14,1520,0.0507105261610514,-10.367516004662065
14,1530,0.017454980693923164,-8.914109567881074
14,1540,0.03347880450876343,-7.984828177671894
14,1550,0.029743046343403932,-5.165732035781602
14,1560,0.03725233717642673,-10.749771697825263
14,1570,0.02708994137908459,-6.437628467812452
14,1580,0.022566227522683058,-7.596996237256896
14,1590,0.027403884354731303,-8.499527677952857
14,1600,0.027272944587466128,-2.9972585894866235
14,1610,0.024183158954470183,-5.14566976144024
14,1620,0.023460738044417964,-4.45586513270214
14,1630,0.027028700303288928,-10.251478280531146
14,1640,0.02719549795514955,-9.588938247072589
14,1650,0.04267216807385521,-8.848319157075483
14,1660,0.017945371769665288,-7.291798769416553
14,1670,0.05823523182949127,-10.30486752045551
14,1680,0.031588424290188585,-8.184307137958179
14,1690,0.029361469292894217,-9.327257291993169
14,1700,0.03412935565735181,-6.76008162059912
14,1710,0.026426142346073125,-2.747489637751003
14,1720,0.03204511088835714,-5.107632687429805
14,1730,0.02560433156253183,-10.055680654598309
14,1740,0.04058441874750787,-8.077951709068955
14,1750,0.012346588702656989,-9.412404042582567
14,1760,0.051907079104727104,-9.459352159603782
14,1770,0.012139199410667963,-5.8547988102056205
14,1780,0.05131598807629895,-6.655269267212342
14,1790,0.04028620412063871,-8.914347252347422
14,1800,0.015048063183056442,-6.292174260577872
14,1810,0.03262758679808787,-10.076329686387167
14,1820,0.04242456753941689,-7.97244579240829
14,1830,0.027232210708047176,-8.861628127390329
14,1840,0.04966802361554928,-10.726148397331539
14,1850,0.024486041041384802,-3.585223062069716
14,1860,0.026921152574966252,-12.391632244322274
14,1870,0.012637778043841185,-6.643895406677303
